Provinsi;2018;2019;2020;2021
Aceh;1156;1361;1500;1467
Sumatera Utara;1855;2160;2347;2420
Sumatera Barat;606;715;797;803
Riau;865;917;1108;1146
Jambi;544;614;677;682
Sumatera Selatan;1022;1216;1318;1371
Bengkulu;341;383;415;425
Lampung;1045;1174;1296;1347
Kepulauan Bangka Belitung;293;306;321;334
Kepulauan Riau;189;224;234;239
DKI Jakarta;223;244;236;243
Jawa Barat;3551;3949;4224;4366
Jawa Tengah;3492;3845;4191;4501
DI Yogyakarta;295;301;314;333
Jawa Timur;3769;4169;4469;4665
Banten;866;936;971;970
Bali;461;529;542;562
Nusa Tenggara Barat;716;775;828;856
Nusa Tenggara Timur;688;785;870;885
Kalimantan Barat;487;586;699;711
Kalimantan Tengah;388;420;472;484
Kalimantan Selatan;676;728;767;807
Kalimantan Timur;437;489;538;548
Kalimantan Utara;122;170;163;174
Sulawesi Utara;522;555;635;660
Sulawesi Tengah;484;533;614;607
Sulawesi Selatan;1233;1361;1497;1569
Sulawesi Tenggara;437;535;578;590
Gorontalo;230;249;283;289
Sulawesi Barat;143;162;189;199
Maluku;290;325;433;470
Maluku Utara;192;226;296;317
Papua Barat;177;235;356;391
Papua;259;358;417;485
