Provinsi;2018;2019;2020;2021
Aceh;137;130;85;125
Sumatera Utara;333;271;216;203
Sumatera Barat;117;128;114;133
Riau;240;191;112;117
Jambi;78;71;50;66
Sumatera Selatan;232;182;131;130
Bengkulu;51;38;24;24
Lampung;144;96;54;54
Kepulauan Bangka Belitung;24;29;18;14
Kepulauan Riau;63;63;65;68
DKI Jakarta;1;0;3;1
Jawa Barat;410;307;250;235
Jawa Tengah;254;182;186;141
DI Yogyakarta;25;33;23;15
Jawa Timur;292;199;152;161
Banten;104;112;114;136
Bali;17;11;15;13
Nusa Tenggara Barat;76;65;64;61
Nusa Tenggara Timur;152;195;159;201
Kalimantan Barat;218;232;222;238
Kalimantan Tengah;90;90;66;66
Kalimantan Selatan;62;62;59;55
Kalimantan Timur;73;87;82;88
Kalimantan Utara;57;27;47;42
Sulawesi Utara;56;63;38;42
Sulawesi Tengah;59;80;67;91
Sulawesi Selatan;137;146;117;113
Sulawesi Tenggara;40;48;31;32
Gorontalo;11;14;10;13
Sulawesi Barat;35;33;31;36
Maluku;97;86;92;111
Maluku Utara;83;67;95;117
Papua Barat;46;35;35;40
Papua;72;115;100;104
