Provinsi;2018;2019;2020;2021
Aceh;6508;6513;6516;6514
Sumatera Utara;6132;6132;6132;6132
Sumatera Barat;1275;1275;1289;1287
Riau;1875;1875;1873;1876
Jambi;1562;1562;1562;1562
Sumatera Selatan;3262;3289;3289;3292
Bengkulu;1514;1514;1514;1514
Lampung;2654;2654;2654;2654
Kepulauan Bangka Belitung;391;391;393;393
Kepulauan Riau;416;416;417;428
DKI Jakarta;267;267;267;267
Jawa Barat;5957;5957;5957;5957
Jawa Tengah;8559;8562;8562;8562
DI Yogyakarta;438;438;438;438
Jawa Timur;8496;8496;8496;8496
Banten;1552;1552;1552;1552
Bali;716;716;716;716
Nusa Tenggara Barat;1143;1143;1153;1151
Nusa Tenggara Timur;3353;3353;3419;3450
Kalimantan Barat;2137;2137;2142;2148
Kalimantan Tengah;1576;1576;1576;1576
Kalimantan Selatan;2008;2008;2007;2007
Kalimantan Timur;1038;1038;1038;1046
Kalimantan Utara;482;482;482;482
Sulawesi Utara;1838;1839;1840;1840
Sulawesi Tengah;2020;2020;2020;2020
Sulawesi Selatan;3049;3051;3052;3051
Sulawesi Tenggara;2354;2318;2311;2309
Gorontalo;734;734;734;734
Sulawesi Barat;650;650;650;650
Maluku;1240;1240;1248;1248
Maluku Utara;1196;1199;1199;1203
Papua Barat;1987;1986;1985;1986
Papua;5552;5554;5555;5555
