Provinsi;2018;2019;2020;2021
Aceh;3703;3809;3959;3799
Sumatera Utara;1962;1984;2035;1991
Sumatera Barat;324;276;263;240
Riau;402;420;381;348
Jambi;531;514;505;492
Sumatera Selatan;1054;990;1043;1027
Bengkulu;695;721;737;716
Lampung;930;841;869;845
Kepulauan Bangka Belitung;48;32;30;24
Kepulauan Riau;63;49;44;51
DKI Jakarta;43;23;28;23
Jawa Barat;1383;1250;1108;1038
Jawa Tengah;3733;3778;3473;3345
DI Yogyakarta;93;77;80;69
Jawa Timur;3444;3427;3275;3116
Banten;365;287;260;235
Bali;202;157;142;125
Nusa Tenggara Barat;251;221;194;170
Nusa Tenggara Timur;1037;990;1040;1019
Kalimantan Barat;255;229;246;250
Kalimantan Tengah;318;240;289;270
Kalimantan Selatan;823;830;856;836
Kalimantan Timur;200;148;138;129
Kalimantan Utara;70;117;128;112
Sulawesi Utara;810;760;772;747
Sulawesi Tengah;694;624;641;623
Sulawesi Selatan;1014;984;881;824
Sulawesi Tenggara;1029;909;961;892
Gorontalo;303;297;294;288
Sulawesi Barat;141;124;111;103
Maluku;223;269;247;234
Maluku Utara;295;333;299;289
Papua Barat;426;394;496;553
Papua;657;555;632;593
