Provinsi;2018;2019;2020;2021
Aceh;1398;1124;872;1043
Sumatera Utara;1793;1549;1337;1368
Sumatera Barat;189;118;91;88
Riau;341;321;234;237
Jambi;355;326;280;283
Sumatera Selatan;901;869;777;743
Bengkulu;403;352;325;337
Lampung;535;532;426;405
Kepulauan Bangka Belitung;25;23;23;21
Kepulauan Riau;88;78;74;70
DKI Jakarta;0;0;0;0
Jawa Barat;596;441;362;313
Jawa Tengah;1070;748;703;575
DI Yogyakarta;25;27;21;21
Jawa Timur;984;698;590;553
Banten;211;213;204;208
Bali;34;18;17;16
Nusa Tenggara Barat;90;79;65;63
Nusa Tenggara Timur;1279;1251;1222;1273
Kalimantan Barat;850;825;757;759
Kalimantan Tengah;546;638;579;587
Kalimantan Selatan;386;361;292;275
Kalimantan Timur;271;268;229;232
Kalimantan Utara;174;135;117;131
Sulawesi Utara;366;417;358;350
Sulawesi Tengah;575;597;560;550
Sulawesi Selatan;572;493;479;471
Sulawesi Tenggara;685;688;660;717
Gorontalo;170;163;141;136
Sulawesi Barat;192;199;171;216
Maluku;440;422;353;341
Maluku Utara;435;458;430;415
Papua Barat;513;560;493;449
Papua;1219;1292;1112;1274
