Provinsi;2018;2019;2020;2021
Aceh;109;86;99;79
Sumatera Utara;188;166;193;148
Sumatera Barat;32;33;23;19
Riau;27;26;38;28
Jambi;53;36;50;39
Sumatera Selatan;53;32;20;21
Bengkulu;24;19;13;12
Lampung;0;11;9;3
Kepulauan Bangka Belitung;1;1;1;0
Kepulauan Riau;8;2;0;0
DKI Jakarta;0;0;0;0
Jawa Barat;15;9;11;5
Jawa Tengah;10;9;9;0
DI Yogyakarta;0;0;0;0
Jawa Timur;6;3;10;1
Banten;6;4;3;3
Bali;1;1;0;0
Nusa Tenggara Barat;10;3;2;1
Nusa Tenggara Timur;195;130;126;71
Kalimantan Barat;322;261;217;180
Kalimantan Tengah;234;185;166;165
Kalimantan Selatan;60;26;32;34
Kalimantan Timur;57;45;50;47
Kalimantan Utara;56;33;27;23
Sulawesi Utara;83;44;37;40
Sulawesi Tengah;208;184;138;141
Sulawesi Selatan;93;67;76;74
Sulawesi Tenggara;162;137;78;75
Gorontalo;20;11;6;8
Sulawesi Barat;138;131;148;96
Maluku;189;136;121;90
Maluku Utara;180;114;78;64
Papua Barat;816;761;600;552
Papua;3320;3227;3276;3079
